year,country,ndvi,happiness_index,good_health_percentage,life_expectancy,population_density,suicide_rate,avg_mean_temp
2015,Belgium,0.624968,6.94,74.6,81.1,11237274.00,16.85,10.65
2016,Belgium,0.634381,6.93,73.9,81.5,11311117.00,17.09,10.34
2017,Belgium,0.598729,6.89,74.5,81.6,11351727.00,15.44,10.73
2018,Belgium,0.620039,6.93,74.9,81.7,11398589.00,16.01,11.23
2019,Belgium,0.631071,6.92,74.1,82.1,11455519.00,15.28,10.92
2020,Belgium,0.629612,6.86,75.6,80.8,11522440.00,15.27,11.53
2021,Belgium,0.614885,6.83,76.5,81.9,11554767.00,14.34,10.09
2022,Belgium,0.622514,6.81,75.4,81.8,11617623.00,15.4,11.52
2023,Belgium,0.558745,6.86,75.5,82.5,11742796.00,NULL,NULL
2015,Bulgaria,0.552485,4.22,65.6,74.7,7029690.00,9.34,12.06
2016,Bulgaria,0.5519,4.22,65.8,74.9,6938759.00,9.23,11.99
2017,Bulgaria,0.529872,4.71,66.7,74.8,6849518.00,9.78,11.65
2018,Bulgaria,0.554295,4.93,66.5,75,6757418.00,8.83,12.06
2019,Bulgaria,0.550095,5.01,67.2,75.1,6664177.00,8.01,12.64
2020,Bulgaria,0.568485,5.1,66.7,73.3,6569275.00,8.04,12.31
2021,Bulgaria,0.559607,5.27,67.6,71.2,6532117.00,7.82,11.66
2022,Bulgaria,0.54915,5.37,68.2,74.2,6482484.00,6.35,12.21
2023,Bulgaria,0.425956,5.47,65.1,75.8,6447710.00,NULL,NULL
2015,Czechia,0.570323,6.51,61.3,78.7,10538275.00,13.25,9.73
2016,Czechia,0.569371,6.6,60.4,79.1,10553843.00,12.55,8.95
2017,Czechia,0.546668,6.61,61.9,79.1,10578820.00,13.17,8.86
2018,Czechia,0.567458,6.71,62.1,79.1,10610055.00,12.82,9.95
2019,Czechia,0.577211,6.85,62,79.3,10649800.00,11.22,9.87
2020,Czechia,0.613441,6.91,63.4,78.3,10693939.00,11.64,9.45
2021,Czechia,0.548345,NULL,67.8,77.2,10494836.00,11.64,8.38
2022,Czechia,0.570949,6.92,68,79,10516707.00,12.29,9.59
2023,Czechia,0.470952,6.85,66.5,79.9,10827529.00,NULL,NULL
2015,Denmark,0.580986,7.53,71.6,80.8,5659715.00,10.21,9.34
2016,Denmark,0.560605,7.53,71.3,80.9,5707251.00,10.19,9.27
2017,Denmark,0.583514,7.52,71.3,81.1,5748769.00,10.45,9.18
2018,Denmark,0.578119,7.56,71.2,81,5781190.00,10.34,9.76
2019,Denmark,0.595866,7.6,69.7,81.5,5806081.00,10.57,9.73
2020,Denmark,0.595758,7.65,71.3,81.6,5822763.00,10.03,10.1
2021,Denmark,0.569272,7.62,67,81.5,5840045.00,9.46,9
2022,Denmark,0.583633,7.64,63,81.3,5873420.00,9.76,9.72
2023,Denmark,0.507948,7.59,64.5,81.8,5932654.00,NULL,NULL
2015,Germany,0.604699,6.75,64.6,80.7,81197537.00,11.68,10.13
