country,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Belgium,74.6,73.9,74.5,74.9,74.1,75.6,76.5,75.4,75.5,74.6
Bulgaria,65.6,65.8,66.7,66.5,67.2,66.7,67.6,68.2,65.1,65.7
Czechia,61.3,60.4,61.9,62.1,62,63.4,67.8,68,66.5,66.4
Denmark,71.6,71.3,71.3,71.2,69.7,71.3,67,63,64.5,68.2
Germany,64.6,65.2,65.5,65.5,65.5,63.9,63,64.2,65.6,64.7
Estonia,51.5,52.9,52.5,51.8,56.6,58.4,58.3,57.8,56.3,57.7
Ireland,82.6,82.9,83.3,84.1,84.3,84.5,81.7,80.8,79.5,79.9
Greece,74.1,74,74.1,76.4,79.3,78.6,78.3,77.2,78.3,78.3
Spain,72.6,72.5,74.2,73.7,75.3,73,71.2,70.1,70.2,70.2
France,67.9,66.4,67.4,67.7,66.7,68.4,67.9,65.2,64.9,66.3
Croatia,58.2,59.2,60.9,60.7,60.5,63.7,62.8,63.2,65,67.2
Italy,65.8,70.9,77,73.3,72.9,,73.6,72.9,73.9,75.5
Cyprus,80.3,78.7,78.1,77.8,77,77.5,75.9,76.1,75.6,75.2
Latvia,46.3,47.2,44.2,47,47.1,49.7,49.8,50.2,47.6,49.1
Lithuania,42.8,43.4,43.9,44,46.2,44.3,47.9,48.1,47.6,48.9
Luxembourg,70.5,69.2,71.1,68.6,71.9,73.6,76.5,74.4,74.1,73.1
Hungary,56.4,59.6,59.3,60.7,58.5,62.3,64.6,63.1,65.2,64.6
Malta,71.2,72.9,75.4,75,74.2,75.7,73,76.7,79.5,79.2
Netherlands,76.2,75.9,76.1,75.7,74.8,77.9,73.2,71.2,69.5,69.8
Austria,69.9,70.3,70.4,71.7,71.3,74,72.3,70.1,69.3,67.7
Poland,57.9,58.5,58.9,59.2,59.9,61.6,64.4,62.3,62.7,64.3
Portugal,46.5,47.7,48.9,49.3,50.1,51.3,50.2,49.5,51,53.6
Romania,70,70.5,70.9,70.6,71.2,73,72.8,73.3,72.1,75.5
Slovenia,64.8,64.5,65.3,65.4,66.7,67.2,69.1,67.8,65.7,66.2
Slovakia,66,66.5,67.1,66.7,65.2,65.3,65.2,66.1,68,66.8
Finland,69.9,70.3,70.2,69,68.6,70,70.2,64.5,66.3,66.5
Sweden,77.6,75.1,76.6,76.1,76,76.5,72.4,66.7,67.3,66.6
Iceland,76.4,76.1,77.1,76.7,75.1,74.9,,,,
Norway,78.4,77.1,77.4,76.6,72.7,74.7,74.6,74,73.9,74.3
Switzerland,79.6,77.7,80.2,80.7,81.3,83.3,81.9,80.2,79.2,78.9
United Kingdom,69.8,69,74.8,73.2,,,,,,
Montenegro,68.9,69.2,69.5,71,69.2,70.3,73,75.6,,
North Macedonia,77.1,78.4,75.4,75.5,74.7,76.6,77.1,74,74.8,
Albania,,,81.4,81.8,82,82.8,83,83.4,83.9,
Serbia,56.8,57.2,54.5,56.4,57.8,62.7,62.6,64.5,63.4,64.2
Türkiye,65.7,68.8,68.2,67.1,66.4,68.8,67.3,66.2,64.3,63.8
Kosovo*,,,,82,,,,,,
